"id","time","y","grupo","Z1","Z2","Z3","Z4","Z5","Z6","Z7"
1,29,4.32734184757031,0,0.0653589749652375,0.0388608743988219,0.226870241829647,0.221881552385208,-0.0784944704209306,-0.380573934121207,-0.240917099697258
2,16,2.24774573296888,0,-0.0788982705505245,0.0777471714488468,-0.0349729347254908,-0.211425828091924,-0.33431590927528,-0.281495854651068,0.00850653948657949
2,37,4.3267748555036,0,0.124992511520288,-0.168889433878549,0.0291130827457663,0.305784145454226,0.196173714534929,-0.270154317044493,-0.338928289292742
2,39,4.45401123208551,0,0.0631231014248794,-0.166370713248268,-0.0467916214533329,0.273767948594526,0.253192637176167,-0.226094904267651,-0.355424230858079
3,11,1.97738031087261,0,0.0337368419115947,-0.098571227775881,-0.19415585725439,-0.277696655336011,-0.28159540730313,-0.152933467979741,0.125694007237594
3,16,3.15328126463528,0,-0.0788982705505245,0.0777471714488468,-0.0349729347254908,-0.211425828091924,-0.33431590927528,-0.281495854651068,0.00850653948657949
3,34,4.76189716209714,0,0.163722446942883,-0.128009818653251,0.130340020792492,0.314273750452129,0.0983195724180768,-0.325081611258586,-0.308015695789259
3,50,4.64163298820517,0,-0.143884216104805,0.064079202757808,-0.232583331005143,-0.0939183947113383,0.365103226579889,0.070277947514607,-0.384508267067193
4,27,4.31183125406614,0,-0.00038177929916101,0.111071336797975,0.235973926257142,0.15932170558064,-0.145692173992764,-0.389057967420715,-0.209073488694866
4,48,4.57758446451375,0,-0.173914906789929,0.0130912340067931,-0.255550437002945,-0.0190272863937329,0.376727274534189,0.0141243067076387,-0.387201058567114
5,31,4.54757124673803,0,0.121946486707551,-0.0356181563406674,0.200345737502679,0.272035438680276,-0.00782277951866494,-0.364086608738764,-0.269980592123838
5,50,5.07479372945646,0,-0.143884216104805,0.064079202757808,-0.232583331005143,-0.0939183947113383,0.365103226579889,0.070277947514607,-0.384508267067193
6,26,3.94895037677833,0,-0.0329784827129662,0.142957219236386,0.233643664281191,0.124779738660927,-0.177077007578166,-0.390194154789511,-0.192158769105567
6,65,4.4777120045129,0,0.0955381140844904,-0.00123120294491101,0.215715732808117,-0.248787278931156,-0.0434106187957823,0.373309763990381,-0.255806286808091
7,31,3.95809723672572,0,0.121946486707551,-0.0356181563406674,0.200345737502679,0.272035438680276,-0.00782277951866494,-0.364086608738764,-0.269980592123838
7,72,4.61030265563939,0,-0.111884427692762,-0.20556802046596,0.197447837303041,-0.0147785838655141,-0.258001325364624,0.380677344972762,-0.13768117979884
