"id","time","y","grupo","Z1","Z2","Z3","Z4","Z5","Z6"
1,29,4.32734184757031,0,-0.0152453519175543,0.0596999853874025,0.0885988099102448,-0.0253653285365942,-0.406920980294057,-0.763246116403742
2,16,2.24774573296888,0,-0.0156547296208718,0.00392711943952236,-0.0597922800117266,-0.187712611921174,-0.343436676073642,-0.0925176662846552
2,37,4.3267748555036,0,0.043338748924898,-0.00660149273049459,0.10884671322875,0.125121342447314,-0.280772997862924,-1.02412653669825
2,39,4.45401123208551,0,0.0486167206979385,-0.0233935008158783,0.0995135584235385,0.155396108462208,-0.234670050139287,-1.06805994933424
3,11,1.97738031087261,0,0.0131911791101307,-0.0424017618117514,-0.0989268475657033,-0.179637622639047,-0.228793106060402,0.226384127271973
3,16,3.15328126463528,0,-0.0156547296208718,0.00392711943952236,-0.0597922800117266,-0.187712611921174,-0.343436676073642,-0.0925176662846552
3,34,4.76189716209714,0,0.025220904789345,0.0208790110719938,0.111238636625349,0.0718707603704131,-0.339981416563194,-0.941763558549764
3,50,4.64163298820517,0,-0.0219817326193778,-0.0537583847847928,-0.035513304516074,0.209116485270459,0.0728788492569591,-1.14460865940827
4,27,4.31183125406614,0,-0.029099922092739,0.0682028104686639,0.0717383781180672,-0.0628834763936628,-0.420760947940532,-0.678332406464553
4,48,4.57758446451375,0,-0.00453627371065122,-0.0565203409533653,-0.00721633165045141,0.214001590009738,0.0146459479002048,-1.15156793970237
5,31,4.54757124673803,0,0.00095770196640189,0.0463969613483953,0.101259194251859,0.0136843116000359,-0.385375986293967,-0.840601001911121
5,50,5.07479372945646,0,-0.0219817326193778,-0.0537583847847928,-0.035513304516074,0.209116485270459,0.0728788492569591,-1.14460865940827
6,26,3.94895037677833,0,-0.0345115565099794,0.0701631542818709,0.061895436595035,-0.0806025893661121,-0.424595854640824,-0.633140560306284
6,65,4.4777120045129,0,0.00731039158325998,0.0535502994139632,-0.0954864664457759,-0.0059388147329755,0.397072473140145,-0.802888325806058
7,31,3.95809723672572,0,0.00095770196640189,0.0463969613483953,0.101259194251859,0.0136843116000359,-0.385375986293967,-0.840601001911121
7,72,4.61030265563939,0,0.0418335674591402,0.0647291297558746,-0.0275545737335259,-0.127421948502336,0.422877129530298,-0.48711253955344
