"id","time","y","grupo","Z1","Z2","Z3","Z4","Z5","Z6","Z7"
125,17,2.51294451273127,1,0.00162594969591165,-0.0513007085331086,-0.156895010661869,-0.270235185202297,-0.306970218525771,-0.195885849885227,0.0896465955598112
125,24,3.70874377352802,1,-0.134865340859655,0.203028884823108,0.137496136767219,-0.0701144050645111,-0.302525718449247,-0.35935205078518,-0.0917000481037943
125,31,4.52141739112319,1,0.0600666083413929,0.0451137370764405,0.228309677227795,0.217080713362519,-0.084267185830997,-0.381591234564219,-0.238367460055
126,20,3.51014909196482,1,-0.0788982705505245,0.0777471714488468,-0.0349729347254908,-0.211425828091924,-0.33431590927528,-0.281495854651068,0.00850653948657947
126,24,3.95022119603749,1,-0.134865340859655,0.203028884823108,0.137496136767219,-0.0701144050645111,-0.302525718449247,-0.35935205078518,-0.0917000481037943
126,34,4.79929263960849,1,0.148729744035658,-0.0812078831820799,0.173536476415941,0.296382316492387,0.0397816377749979,-0.348814070635029,-0.287733315170278
127,16,2.34264646820562,1,0.0270387646462491,-0.0889149379193557,-0.186979470612123,-0.277092817385118,-0.287947907531145,-0.162781146352154,0.117624901522572
127,20,4.25203168084484,1,-0.0788982705505245,0.0777471714488468,-0.0349729347254908,-0.211425828091924,-0.33431590927528,-0.281495854651068,0.00850653948657947
127,41,5.0515878269396,1,0.0075728601226167,-0.151951270562526,-0.102824717454177,0.238671661908077,0.290368350898903,-0.189923711870413,-0.365594146113995
128,18,1.92906169667525,1,-0.0255975664978674,-0.0094750023991381,-0.120389803971948,-0.25653481921575,-0.321019373908928,-0.226783575599805,0.0621080497280323
128,22,2.10495616672886,1,-0.119706483381271,0.154624246298346,0.0555595684224858,-0.147405728534544,-0.32807289649909,-0.32599350566113,-0.0428670271434687
129,22,2.18004571631905,1,-0.119706483381271,0.154624246298346,0.0555595684224858,-0.147405728534544,-0.32807289649909,-0.32599350566113,-0.0428670271434687
129,26,2.2920576752438,1,-0.111884427692762,0.20556802046596,0.197447837303041,0.0147785838655138,-0.258001325364623,-0.380677344972764,-0.137681179798839
130,22,3.7152104670266,1,-0.119706483381271,0.154624246298346,0.0555595684224858,-0.147405728534544,-0.32807289649909,-0.32599350566113,-0.0428670271434687
130,25,3.6784572906982,1,-0.128714741300945,0.210889247549257,0.170956080168131,-0.0282544982750321,-0.282586624593233,-0.371565259313446,-0.115066165814587
130,35,2.9184350408064,1,0.161741698225905,-0.115485020280119,0.144394900656394,0.310504730173662,0.0809596731535256,-0.332732721924629,-0.302158467817912
