"id","time","y","grupo","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11"
125,17,2.51294451273127,1,-0.0334443403457511,0.0470004496067107,0.0267865231245402,-0.0302357993044434,-0.113789914661195,0.201217600965403,0.262261221256084,0.267057961321035,0.195252846822727,0.044091705765185,0.178288409852755
125,24,3.70874377352802,1,0.0370386227033186,-0.0240346406915632,0.0525960361344845,0.154943651704181,0.211367778742894,-0.160825664154404,0.000413605016468985,0.200859054133189,0.322853340450029,0.269359786690127,-0.0101628194277601
125,31,4.52141739112319,1,-0.0498597956185844,0.00544713960731719,-0.108993794606164,-0.159221402229693,-0.0421845036386148,-0.176690712514165,-0.289792125717426,-0.146571642200848,0.161541013451534,0.347363029937284,-0.167011273530587
126,20,3.51014909196482,1,-0.0779155529276024,0.139655133796441,0.167025496351154,0.142828257787144,0.0598370159683272,0.0688013719176925,0.205368622549022,0.295444243651999,0.287259115715929,0.155749059387856,0.0947085114214531
126,24,3.95022119603749,1,0.0370386227033186,-0.0240346406915632,0.0525960361344845,0.154943651704181,0.211367778742894,-0.160825664154404,0.000413605016468985,0.200859054133189,0.322853340450029,0.269359786690127,-0.0101628194277601
126,34,4.79929263960849,1,-0.118953450194262,0.131875369279577,0.0019513074754581,-0.171275849870879,-0.195893710335887,-0.010530863335832,-0.265360291360151,-0.268991955924888,0.035194604581671,0.330553956358496,-0.220615475557058
127,16,2.34264646820562,1,-0.00712192472377299,-0.000592931278925551,-0.0326140216296932,-0.0890753384373428,-0.159328457135145,0.223598005269583,0.257567997763285,0.23890364062189,0.153889057217193,0.00290109750857664,0.20684588994916
127,20,4.25203168084484,1,-0.0779155529276024,0.139655133796441,0.167025496351154,0.142828257787144,0.0598370159683272,0.0688013719176925,0.205368622549022,0.295444243651999,0.287259115715929,0.155749059387856,0.0947085114214531
127,41,5.0515878269396,1,0.125994061046828,-0.0867795120578524,0.102397581728447,0.181163592188152,-0.0321186719170228,0.259762398518846,0.0953877689988698,-0.276298656243654,-0.253709538318444,0.189848022317372,-0.306166553418018
128,18,1.92906169667525,1,-0.0570197225064875,0.0913332498512192,0.0856042553531229,0.0330268216060126,-0.0586879895610938,0.166292884092703,0.254734230508304,0.286077238193893,0.231555274823673,0.083440247986451,0.150050118450131
