"id","time","y","grupo","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12"
125,17,2.51294451273127,1,-0.0369433046098152,0.0577252256254267,0.0500940963152995,0.00909044433881334,-0.0607307889174522,0.144942999727955,0.221307124869234,0.264302254368756,0.251408379577901,0.169491906055059,0.0199785016596165,-0.188678700146947
125,24,3.70874377352802,1,0.065472446794031,-0.082905509270394,-0.0293632930756204,0.0777111818333076,0.183554071819045,-0.220486189253328,-0.145895307934587,0.0253121439371727,0.215748392859473,0.317818408278904,0.251676953934217,-0.001295214718177
125,31,4.52141739112319,1,-0.102943654331051,0.10490405487919,-0.0118651095676843,-0.153908532733917,-0.179922334261938,0.0282756878511595,-0.197398394304211,-0.290532364478875,-0.130836084643305,0.17014491661551,0.337611003782749,0.155415960633505
126,20,3.51014909196482,1,-0.065229576755218,0.123240815393885,0.162402964175648,0.166768534330218,0.122330404530446,-0.0269573248325886,0.101566140567491,0.225142548996694,0.295214941664609,0.270155001134207,0.133892195321136,-0.105696719822073
126,24,3.95022119603749,1,0.065472446794031,-0.082905509270394,-0.0293632930756204,0.0777111818333076,0.183554071819045,-0.220486189253328,-0.145895307934587,0.0253121439371727,0.215748392859473,0.317818408278904,0.251676953934217,-0.001295214718177
126,34,4.79929263960849,1,-0.0396183268178689,0.0939500988849595,0.0968648677793111,-0.0188499710212366,-0.177059383714126,0.186895020888973,-0.0267155798870227,-0.270658967235939,-0.257449568483027,0.0456366617582244,0.323534607477226,0.209109447397356
127,16,2.34264646820562,1,-0.0113809165998302,0.0104639644071081,-0.0113855466814393,-0.0562575823476068,-0.118265915898443,0.184000112918221,0.234938574612451,0.251455182582358,0.217604548392457,0.125433681825426,-0.0217699729609153,-0.216987706317943
127,20,4.25203168084484,1,-0.065229576755218,0.123240815393885,0.162402964175648,0.166768534330218,0.122330404530446,-0.0269573248325886,0.101566140567491,0.225142548996694,0.295214941664609,0.270155001134207,0.133892195321136,-0.105696719822073
127,41,5.0515878269396,1,-0.00894689502023297,-0.0680823375429323,-0.0746662319758886,0.0896283404779549,0.17609175167762,0.0352408839238545,0.260540688811497,0.0894314342141249,-0.275569202113646,-0.244275375494285,0.187545314846665,0.294974550058481
128,18,1.92906169667525,1,-0.0580205726999271,0.0985014613683996,0.106887166430437,0.0748859773518462,0.00373361826037483,0.0936719471945594,0.193279309055768,0.264108489515372,0.275969508288803,0.208629163235259,0.0599879035508488,-0.160664652554175
128,22,2.10495616672886,1,-0.0081642469597129,0.0391076599606621,0.0968353343837211,0.158959128273674,0.185684366537516,-0.142003927276193,-0.0219035448443212,0.139221362425373,0.273117277398115,0.306728002944042,0.198237724687784,-0.0524428194985663
129,22,2.18004571631905,1,-0.0081642469597129,0.0391076599606621,0.0968353343837211,0.158959128273674,0.185684366537516,-0.142003927276193,-0.0219035448443212,0.139221362425373,0.273117277398115,0.306728002944042,0.198237724687784,-0.0524428194985663
129,26,2.2920576752438,1,0.0898408716888195,-0.142664481092463,-0.126045752822605,-0.0290507865985607,0.116097748890423,-0.232647966132095,-0.23594044614897,-0.0940420891479681,0.131254027541812,0.303584814801022,0.292951755330253,0.0473454934451773
130,22,3.7152104670266,1,-0.0081642469597129,0.0391076599606621,0.0968353343837211,0.158959128273674,0.185684366537516,-0.142003927276193,-0.0219035448443212,0.139221362425373,0.273117277398115,0.306728002944042,0.198237724687784,-0.0524428194985663
130,25,3.6784572906982,1,0.0879301698998693,-0.126825158057978,-0.0870282417493932,0.024524167966791,0.157981774598791,-0.236716897369501,-0.19731549906091,-0.0350932843632765,0.1763827865797,0.313857199037666,0.273913541096671,0.0233635390077494
130,35,2.9184350408064,1,0.0173854583009245,0.0448013428198974,0.113427866870673,0.0478504371359646,-0.13410545088749,0.215699115658918,0.0401563556500969,-0.239175116215027,-0.286585950994143,0.000888572835679292,0.312339330428605,0.224894846243513
