"id","time","y","grupo","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10"
125,17,2.51294451273127,1,-0.0284298171496022,0.0322804351960507,-0.00369810787973917,-0.0785610293864255,-0.172968236355151,0.25303016616122,0.279990615627752,0.223176863653959,0.0728056187756733,-0.164583414212153
125,24,3.70874377352802,1,-0.00383997569688764,0.0496156886233274,0.134075225229249,0.19975421881712,0.173242274119334,-0.0269460953117257,0.181198771699118,0.325822559353315,0.289042312611721,0.0242418981475609
125,31,4.52141739112319,1,0.0389378959729174,-0.108123008227718,-0.143658058651579,-0.0466512018638393,0.159723081609945,-0.288126877823796,-0.163580467997735,0.150283480293209,0.357330407855951,0.180541962491609
126,20,3.51014909196482,1,-0.0865490578046629,0.145829092195798,0.152893139358629,0.0924758847714762,-0.029390681859406,0.177132597794756,0.290258964320133,0.304162773411744,0.18104229632626,-0.0806904367664632
126,24,3.95022119603749,1,-0.00383997569688764,0.0496156886233274,0.134075225229249,0.19975421881712,0.173242274119334,-0.0269460953117257,0.181198771699118,0.325822559353315,0.289042312611721,0.0242418981475609
126,34,4.79929263960849,1,-0.0992268802487113,0.0451365312019749,-0.121621816342583,-0.186836583593005,-0.0120166945294149,-0.250161260986041,-0.278613059922414,0.0219618024775861,0.337066151287638,0.233785158498478
127,16,2.34264646820562,1,-0.00167977379098711,-0.01471630918256,-0.0592021539156547,-0.128249464381787,-0.203798287658926,0.257417725312038,0.258710858270968,0.185393596402229,0.0325634818005188,-0.193299061705059
127,20,4.25203168084484,1,-0.0865490578046629,0.145829092195798,0.152893139358629,0.0924758847714762,-0.029390681859406,0.177132597794756,0.290258964320133,0.304162773411744,0.18104229632626,-0.0806904367664632
127,41,5.0515878269396,1,0.0834570316264519,0.0368049395374698,0.154438029952714,-0.00923652624697891,-0.241766504108191,0.102649488910552,-0.272126410988811,-0.263270598004343,0.191509901332754,0.318585712371138
128,18,1.92906169667525,1,-0.0539523125296192,0.0787499482400812,0.0544625315518204,-0.0217944546078418,-0.131642800130089,0.237494167241798,0.292384691527317,0.255794980875482,0.11110058562894,-0.136213821365963
